row,legacy_url,title,brand,match_method
12281,/advert/muller/kjt---aristocracy,KJT - Aristocracy,Muller,unmatched
12282,/advert/nakd/mind-blown,Mind Blown,Nakd,unmatched
12283,/advert/sainsbury's/nectar-card---perfect-christmas,Nectar Card - Perfect Christmas,Sainsbury's,unmatched
12284,/advert/daily-mail/free-michelin-map,Free Michelin Map,Daily Mail,unmatched
12285,/advert/babybel/comic-relief-cheesy-jokes,Comic Relief Cheesy Jokes,Babybel,unmatched
12286,/advert/gordon's/gordon-ramsey,Gordon Ramsey,Gordon's,unmatched
12287,/advert/dfs/sand-sofa,Sand Sofa,DFS,unmatched
12288,/advert/duracell/sports-radio,Sports Radio,Duracell,unmatched
12289,/advert/aptamil/growing-up-milk,Growing Up Milk,Aptamil,unmatched
12290,/advert/domino's/marooned,Marooned,Domino's,unmatched
12291,/advert/jacob's-cream-crackers/alan-titchmarsh,Alan Titchmarsh,Jacob's Cream Crackers,unmatched
12292,/advert/workout-mix-2012/music-cd-%26-fitness-dvd,Music CD & Fitness DVD,Workout Mix 2012,unmatched
12293,/advert/canesten/duo---itch,Duo - Itch,Canesten,unmatched
12294,/advert/heat-electric/parrots,Parrots,Heat Electric,unmatched
12295,/advert/nhs/alcohol---start-of-a-night-out,Alcohol - Start Of A Night Out,NHS,unmatched
12296,/advert/eliza-doolittle/eliza-doolittle,Eliza Doolittle,Eliza Doolittle,unmatched
12298,/advert/iceland/baileys-desserts,Baileys Desserts,Iceland,unmatched
12299,/advert/pandora/loyal-mother,Loyal Mother,Pandora,unmatched
12300,/advert/santander/123-current-account---rory-mcilroy,123 Current Account - Rory McIlroy,Santander,unmatched
12301,/advert/ariel/ariel-vs-the-mud,Ariel VS The Mud,Ariel,unmatched
12302,/advert/toyota/yaris---muddy-boots,Yaris - Muddy Boots,Toyota,unmatched
12303,/advert/superdrug/loads-of-looks,Loads Of Looks,Superdrug,unmatched
12304,/advert/oak-furniture-land/echo,Echo,Oak Furniture Land,unmatched
12305,/advert/ronan-keating/twenty-twenty,Twenty Twenty,Ronan Keating,unmatched
12306,/advert/harry-styles/fine-line,Fine Line,Harry Styles,unmatched
12307,/advert/optrex/actimist---screen-eyes,ActiMist - Screen Eyes,Optrex,unmatched
12308,/advert/times/paul-mckenna---become-rich,Paul McKenna - Become Rich,Times,unmatched
12309,/advert/touchstone-pictures/surrogates,Surrogates,Touchstone Pictures,unmatched
12310,/advert/cravendale/mystical-moonicow,Mystical Moonicow,Cravendale,unmatched
12311,/advert/beauty-pie/more-luxury-beauty-for-less,More Luxury Beauty For Less,Beauty Pie,unmatched
12312,/advert/bbc-motion-gallery/ultimate-wildlife-magazine,Ultimate Wildlife Magazine,BBC Motion Gallery,unmatched
12313,/advert/greens-park-homes/wolds-retreat,Wolds Retreat,Greens Park Homes,unmatched
12314,/advert/paper-mate/ink-joy,Ink Joy,Paper Mate,unmatched
12315,/advert/hive/control-your-home-from-your-phone,Control Your Home From Your Phone,Hive,unmatched
12316,/advert/calvin-klein/man,Man,Calvin Klein,unmatched
12317,/advert/argos/operation-school-run,Operation School Run,Argos,unmatched
12318,/advert/pop-party-10/the-biggest-album-in-pop,The Biggest Album In Pop,Pop Party 10,unmatched
12319,/advert/barnardo's/believe-in-me,Believe In Me,Barnardo's,unmatched
12320,/advert/carphone-warehouse/laptops-for-everyone,Laptops For Everyone,Carphone Warehouse,unmatched
12321,/advert/yves-saint-laurent/touche-eclat,Touche Eclat,Yves Saint Laurent,unmatched
12322,/advert/jackpotjoy.com/stairs,Stairs,Jackpotjoy.com,unmatched
12323,/advert/army/send-your-message---helicopter,Send Your Message - Helicopter,Army,unmatched
12324,/advert/tui/talking-bags,Talking Bags,Tui,unmatched
12325,/advert/acid-house-anthems/fifty-legendary-tracks,Fifty Legendary Tracks,Acid House Anthems,unmatched
12326,/advert/sun/fans-premier-league-guide,Fans Premier League Guide,Sun,unmatched
12327,/advert/woolworths/more-toys-than-santa,More Toys Than Santa,Woolworths,unmatched
12328,/advert/niquitin/minis---you-from-the-future,Minis - You From The Future,NiQuitin,unmatched
12329,/advert/tesco/however-you-do-christmas,However You Do Christmas,Tesco,unmatched
12330,/advert/olay/vitamic-c---amelia-dimoldenberg,Vitamic C - Amelia Dimoldenberg,Olay,unmatched
12331,/advert/policy-expert/home-insurance-for-people-like-you,Home Insurance For People Like You,Policy Expert,unmatched
