row,legacy_url,title,brand,match_method,ad_id,status,slug
16010,/advert/impulse/the-impulse-diaries---tourbus,The Impulse Diaries - Tourbus,Impulse,external_id,2d140129-e007-476d-9e7e-86d4c8f85d43,inserted,impulse/the-impulse-diaries-tourbus
16064,/advert/warner-bros/sherlock-holmes,Sherlock Holmes,Warner Bros,external_id,37d8a02b-c81c-4efe-8f28-7737ec39d5e4,inserted,warner-bros/sherlock-holmes
16563,/advert/drambuie/unchanged-since-1745,Unchanged Since 1745,Drambuie,external_id,87852b6f-2f7c-4b9a-b253-0a2cb724d6da,inserted,drambuie/unchanged-since-1745
16642,/advert/barnardo's/turning-lives-around,Turning Lives Around,Barnardo's,external_id,f72194ae-224f-4f08-83e3-29281c5bf4cc,inserted,barnardos/turning-lives-around
16889,/advert/63336/text-any-question,Text Any Question,63336,external_id,802811df-a92a-4226-aae1-2985e1ae48fa,inserted,63336/text-any-question
17070,/advert/stella-mccartney/stella,Stella,Stella McCartney,external_id,de86dd26-153f-4084-b919-8ffcb5e9685d,inserted,stella-mccartney/stella
17336,/advert/bell's/jackie,Jackie,Bell's,external_id,7e5c30d5-2bb2-40aa-a67e-7ef29e74d4cf,inserted,bells/jackie
17596,/advert/need-for-speed/shift,Shift,Need For Speed,external_id,5ed20989-1123-4988-91d3-a9dc0f20f388,inserted,need-for-speed/shift
17856,/advert/carlsberg/christmas-crackers,Christmas Crackers,Carlsberg,external_id,2bcde095-d274-4305-b256-2056e48a70a7,inserted,carlsberg/christmas-crackers
18011,/advert/tesco/half-price-christmas-specials,Half Price Christmas Specials,Tesco,external_id,f99df001-32ff-47d9-897d-faf16e9ef2cb,inserted,tesco/half-price-christmas-specials
18219,/advert/primula/enjoy-primula-this-christmas,Enjoy Primula This Christmas,Primula,external_id,3ce6deb1-422a-4f22-9ebb-476d5658a950,inserted,primula/enjoy-primula-this-christmas
18547,/advert/kfc/hot-rods---it-support,Hot Rods - IT Support,KFC,external_id,4e784ab2-8de6-4aa1-b495-8b7a5a65caee,inserted,kfc/hot-rods-it-support
19411,/advert/blackberry/love-what-you-do---dance,Love What You Do - Dance,BlackBerry,external_id,bb732523-afe7-49a6-b44b-f4f04e92c357,inserted,blackberry/love-what-you-do-dance
19474,/advert/qd-stores/golden-ticket,Golden Ticket,QD Stores,external_id,c38ec48a-527e-4c0c-95a3-f73388e1a947,inserted,qd-stores/golden-ticket
19965,/advert/mail-on-sunday/the-three-tenors-christmas,The Three Tenors Christmas,Mail On Sunday,external_id,b7cd1b44-9e48-47df-a8ec-9b6a49de69d8,inserted,mail-on-sunday/the-three-tenors-christmas
20043,/advert/sean-john/i-am-king,I Am King,Sean John,external_id,b5d674c1-27db-4cec-b623-ce8723038fc1,inserted,sean-john/i-am-king
20072,/advert/canon/pen---point-%26-shoot,Pen - Point & Shoot,Canon,external_id,095b115a-1c3b-4cde-b8d6-a8830779edaf,inserted,canon/pen-point-26-shoot
20396,/advert/sony/christmas-make.believe,Christmas Make.Believe,Sony,external_id,440cb21c-f678-448e-bce1-d0debda161a5,inserted,sony/christmas-makebelieve
20414,/advert/play.com/dvd-box-sets,DVD Box Sets,Play.com,external_id,e573d6ff-47e9-4d81-ace0-250031022f46,inserted,playcom/dvd-box-sets
20457,/advert/xbox-360/call-of-duty---modern-warfare-2,Call Of Duty - Modern Warfare 2,Xbox 360,external_id,cd10ce7a-dc7e-4d5e-9cc7-2d80c419be3b,inserted,xbox-360/call-of-duty-modern-warfare-2
20663,/advert/george-michael/live-in-london,Live In London,George Michael,external_id,1158e64c-656a-4373-988d-5c17c4e93430,inserted,george-michael/live-in-london
20682,/advert/seal/hits,Hits,Seal,external_id,4a3d55e0-a705-4402-b2b2-9b478d092fed,inserted,seal/hits
20697,/advert/jimmy-carr/telling-jokes,Telling Jokes,Jimmy Carr,external_id,9d035e8c-69c0-4154-be56-9e8ee97ffc29,inserted,jimmy-carr/telling-jokes
20951,/advert/lotto/christmas-scratchcards,Christmas Scratchcards,Lotto,external_id,eebf40ef-18d8-4c49-8cc7-1533765727fa,inserted,lotto/christmas-scratchcards
